Admin View,,,,,,
New user Gregarious Komono Dragon joined the chat,,,,,,
New user Engaging Pufferfish joined the chat,,,,,,
2021-3-18T10:11:14.636Z,http://f33114e1ebc1.ngrok.io/webhooks/rest/webhook,Gregarious Komono Dragon,1,Hello,,USER
2021-3-18T10:11:16.820Z,http://f33114e1ebc1.ngrok.io/webhooks/rest/webhook,GLUE,1,"Hi, I am Glue, a social bot. I am looking forward to talking to you today. Where are you both right now?",human_1,glue
2021-3-18T10:11:26.571Z,http://f33114e1ebc1.ngrok.io/webhooks/rest/webhook,Engaging Pufferfish,1,Hello,,USER
2021-3-18T10:11:28.158Z,http://f33114e1ebc1.ngrok.io/webhooks/rest/webhook,GLUE,1,Hello,human_2,glue
2021-3-18T10:11:44.248Z,http://f33114e1ebc1.ngrok.io/webhooks/rest/webhook,Gregarious Komono Dragon,1,I am in university,,USER
2021-3-18T10:12:0.746Z,http://f33114e1ebc1.ngrok.io/webhooks/rest/webhook,Engaging Pufferfish,1,Me too,,USER
2021-3-18T10:12:2.957Z,http://f33114e1ebc1.ngrok.io/webhooks/rest/webhook,GLUE,1,silent_response,human_1 glue keep quiet,glue
2021-3-18T10:12:22.791Z,http://f33114e1ebc1.ngrok.io/webhooks/rest/webhook,GLUE,1,And I am in the cloud. How is the weather in your area?,human_2 glue respond,glue
2021-3-18T10:12:37.53Z,http://f33114e1ebc1.ngrok.io/webhooks/rest/webhook,Engaging Pufferfish,1,Sunny and bright today,,USER
2021-3-18T10:12:51.668Z,http://f33114e1ebc1.ngrok.io/webhooks/rest/webhook,Gregarious Komono Dragon,1,"A bit cloudy today for me, I can see your cloud GLUE",,USER
2021-3-18T10:12:53.851Z,http://f33114e1ebc1.ngrok.io/webhooks/rest/webhook,GLUE,1,silent_response,human_2 glue keep quiet,glue
2021-3-18T10:13:14.260Z,http://f33114e1ebc1.ngrok.io/webhooks/rest/webhook,GLUE,1,"It is always fluffy where I am, haha! May I ask, what is your favourite colour and why? Can you give any deep reasons? For example, I like golden colour because it feels like magic",human_1 glue respond,glue
2021-3-18T10:13:50.478Z,http://f33114e1ebc1.ngrok.io/webhooks/rest/webhook,Engaging Pufferfish,1,Probably blue because I like the sea and sky,,USER
2021-3-18T10:13:53.490Z,http://f33114e1ebc1.ngrok.io/webhooks/rest/webhook,Gregarious Komono Dragon,1,I like blue colour because it is both the color of the sky and the color of the sea,,USER
2021-3-18T10:13:55.542Z,http://f33114e1ebc1.ngrok.io/webhooks/rest/webhook,GLUE,1,silent_response,human_2 glue keep quiet,glue
2021-3-18T10:14:10.16Z,http://f33114e1ebc1.ngrok.io/webhooks/rest/webhook,Engaging Pufferfish,1,"Haha, exact same answer",,USER
2021-3-18T10:14:12.439Z,http://f33114e1ebc1.ngrok.io/webhooks/rest/webhook,GLUE,1,silent_response,human_1 glue keep quiet,glue
2021-3-18T10:14:17.695Z,http://f33114e1ebc1.ngrok.io/webhooks/rest/webhook,Gregarious Komono Dragon,1,yeah that's funny,,USER
2021-3-18T10:14:21.666Z,http://f33114e1ebc1.ngrok.io/webhooks/rest/webhook,GLUE,1,silent_response,human_2 glue keep quiet,glue
2021-3-18T10:14:40.790Z,http://f33114e1ebc1.ngrok.io/webhooks/rest/webhook,GLUE,1,"Okay lets do another one, what is your favourite animal and why?",human_1 glue respond,glue
2021-3-18T10:15:21.559Z,http://f33114e1ebc1.ngrok.io/webhooks/rest/webhook,Engaging Pufferfish,1,"Dogs, they are friendly and loyal and happy to see everyone.",,USER
2021-3-18T10:15:40.553Z,http://f33114e1ebc1.ngrok.io/webhooks/rest/webhook,Gregarious Komono Dragon,1,"My favourite animal is certainly the penguin, because it's cute and amusing. I like them even if I never saw one for real",,USER
2021-3-18T10:15:42.805Z,http://f33114e1ebc1.ngrok.io/webhooks/rest/webhook,GLUE,1,silent_response,human_2 glue keep quiet,glue
